"Estimated migrants by age group and sex, 12/16-month rule (Annual-Jun)","","","",""
"","","","Arrivals","Departures"
" "," ",2016,1074,612
"70-74 years","Female",2002,396,243
" "," ",2003,363,294
" "," ",2004,321,312
" "," ",2005,327,288
" "," ",2006,354,294
" "," ",2007,420,318
" "," ",2008,405,378
" "," ",2009,381,315
" "," ",2010,387,336
" "," ",2011,363,318
" "," ",2012,378,348
" "," ",2013,378,312
" "," ",2014,444,333
" "," ",2015,480,342
" "," ",2016,483,390
" ","Male",2002,372,252
" "," ",2003,342,264
" "," ",2004,285,261
" "," ",2005,321,306
" "," ",2006,351,255
" "," ",2007,399,276
" "," ",2008,369,333
" "," ",2009,360,300
" "," ",2010,381,288
" "," ",2011,339,312
" "," ",2012,360,318
" "," ",2013,375,309
" "," ",2014,450,312
" "," ",2015,447,369
" "," ",2016,471,336
"75-79 years","Female",2002,261,195
" "," ",2003,249,204
" "," ",2004,195,192
" "," ",2005,222,171
" "," ",2006,222,174
" "," ",2007,234,198
" "," ",2008,258,219
" "," ",2009,237,210
" "," ",2010,204,174
" "," ",2011,207,213
" "," ",2012,246,201
" "," ",2013,231,207
" "," ",2014,270,234
" "," ",2015,282,201
" "," ",2016,273,264
" ","Male",2002,216,129
" "," ",2003,177,147
" "," ",2004,204,183
" "," ",2005,180,153
" "," ",2006,153,177
" "," ",2007,207,153
" "," ",2008,231,171
" "," ",2009,195,171
" "," ",2010,213,153
" "," ",2011,183,168
" "," ",2012,192,168
" "," ",2013,210,183
" "," ",2014,243,183
" "," ",2015,252,204
" "," ",2016,255,240
"80 years and over","Female",2002,201,156
" "," ",2003,234,174
" "," ",2004,216,171
" "," ",2005,204,174
" "," ",2006,192,189
" "," ",2007,204,165
" "," ",2008,249,183
" "," ",2009,207,186
" "," ",2010,204,180
" "," ",2011,177,219
" "," ",2012,180,204
" "," ",2013,195,210
" "," ",2014,210,186
" "," ",2015,228,177
" "," ",2016,246,219
" ","Male",2002,132,99
" "," ",2003,126,117
" "," ",2004,135,99
" "," ",2005,138,111
" "," ",2006,123,99
" "," ",2007,156,105
" "," ",2008,150,123
" "," ",2009,132,132
" "," ",2010,132,114
" "," ",2011,132,156
" "," ",2012,147,132
" "," ",2013,168,141
" "," ",2014,165,156
" "," ",2015,171,147
" "," ",2016,171,147
"Table information:"
"Units:"
"Number, Magnitude = Units"
""
"Footnotes:"
"Migration statistics by the 12/16-month rule is a new measure for estimating the contribution of international migration to changes in New Zealand's resident population."
"For detailed metadata about the 12/16-month rule, see DataInfo+. http://ow.ly/mCBr30eDATo"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"ITM395AA"
""
"Last updated:"
"28 February 2018 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
